Client;Full Client Profit;Invoice number;Full invoice profit;Product;Full Product Profit;Price net;Purchase net;Single Product Profit;Quantity
"FIRMA HANDLOWA ""PI¥TKA"" BAJOR TERESA";336.51;3/12/2013;201.75;BEZPIECZNIE IDÊ I JADÊ KSI¥¯ECZKA Z NALEPKAMI;4.02;3.93;2.59;1.34;3.0
"FIRMA HANDLOWA ""PI¥TKA"" BAJOR TERESA";336.51;3/12/2013;201.75;BIOLOGIA;4.71;4.6;3.03;1.57;3.0
"FIRMA HANDLOWA ""PI¥TKA"" BAJOR TERESA";336.51;3/12/2013;201.75;CHORWACJAIL. PRZEWODNIK;4.14;12.14;8.0;4.14;1.0
"FIRMA HANDLOWA ""PI¥TKA"" BAJOR TERESA";336.51;3/12/2013;201.75;DZIKIE ZWIERZENIA I INNE ZDARZENIA;5.88;5.75;3.79;1.96;3.0
"FIRMA HANDLOWA ""PI¥TKA"" BAJOR TERESA";336.51;3/12/2013;201.75;FIZYKA;4.71;4.6;3.03;1.57;3.0
"FIRMA HANDLOWA ""PI¥TKA"" BAJOR TERESA";336.51;3/12/2013;201.75;GRECJA ILUSTROWANY PRZEWODNIK;4.15;12.15;8.0;4.15;1.0
"FIRMA HANDLOWA ""PI¥TKA"" BAJOR TERESA";336.51;3/12/2013;201.75;IRLANDIA ILUSTROWANY PRZEWODNIK;4.15;12.15;8.0;4.15;1.0
"FIRMA HANDLOWA ""PI¥TKA"" BAJOR TERESA";336.51;3/12/2013;201.75;JAMES BOND DR NO;3.12;3.04;2.0;1.04;3.0
"FIRMA HANDLOWA ""PI¥TKA"" BAJOR TERESA";336.51;3/12/2013;201.75;JAMES BOND GOLDFINGER;3.12;3.04;2.0;1.04;3.0
"FIRMA HANDLOWA ""PI¥TKA"" BAJOR TERESA";336.51;3/12/2013;201.75;JAMES BOND MOONRAKER;3.12;3.04;2.0;1.04;3.0
"FIRMA HANDLOWA ""PI¥TKA"" BAJOR TERESA";336.51;3/12/2013;201.75;JAMES BOND OPERACJA PIORUN;3.12;3.04;2.0;1.04;3.0
"FIRMA HANDLOWA ""PI¥TKA"" BAJOR TERESA";336.51;3/12/2013;201.75;JAMES BOND TYLKO DLA TWOICH OCZU;3.12;3.04;2.0;1.04;3.0
"FIRMA HANDLOWA ""PI¥TKA"" BAJOR TERESA";336.51;3/12/2013;201.75;JAMES BOND ¯YJ I POZWÓL UMRZEÆ;3.12;3.04;2.0;1.04;3.0
